ID;Phylum;Class;Order;Family;Genus;Species
ORCIE1990_Rho;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;randalli
RUNA_0737_Rho;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_2450_Rho_V1;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_2450_Rho_V2;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_2449_Rho;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_2379_Rho_V1;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_2379_Rho_V2;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_2347_Rho_V1;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_2347_Rho_V2;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_2344_Rho_V1;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_2344_Rho_V2;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_3256_Rho;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_3214_Rho;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_3176_Rho;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_3155_Rho_V1;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_3155_Rho_V2;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_3154_Rho_V1;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_3154_Rho_V2;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
ORCIE1890_Rho;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;stigmaticus
RUNA_2168_Rho;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_4002_Rho;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_4001_Rho_V1;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_4001_Rho_V2;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_3895_Rho_V1;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_3895_Rho_V2;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
1583_Rho_V1;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;stigmaticus
1583_Rho_V2;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;stigmaticus
RUNA_2718_Rho;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_2717_Rho;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
ORCIE1808_Rho_V1;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
ORCIE1808_Rho_V2;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
ORCIE1889_Rho_V1;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;stigmaticus
ORCIE1889_Rho_V2;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;stigmaticus
RUNA_2348_Rho;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_2346_Rho_V1;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_2346_Rho_V2;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_0854_Rho_V1;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_0854_Rho_V2;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
HQ168903_1_Rho_V1;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
HQ168903_1_Rho_V2;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
HQ168904_1_Rho_V1;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;filamentosus
HQ168904_1_Rho_V2;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;filamentosus
HQ168905_1_Rho_V1;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;quagga
HQ168905_1_Rho_V2;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;quagga
RUNA_1208_Rho_V1;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RUNA_1208_Rho_V2;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RESIC057_11_Rho;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;chelomatus
RESIC148_11_Rho;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;chelomatus
RESIC181_11_Rho;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RESIC180_11_Rho;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RESIC484_11_Rho;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;chelomatus
RESIC179_11_Rho_V1;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
RESIC179_11_Rho_V2;Chordata;Actinopterygii;Perciformes;Blenniidae;Cirripectes;castaneus
HQ168927_1_Omobranchus_obliquus;NA;NA;NA;NA;NA;Omobranchus
HQ168928_Ophioblennius_macclurei;NA;NA;NA;NA;NA;Ophioblennius
HQ168942_1_Salarias_fasciatus;NA;NA;NA;NA;NA;Salarias
KF265117_1_Petroscirtes_breviceps;NA;NA;NA;NA;NA;Petroscirtes
